question,reference_answer
"Если человек тайно вынес из магазина дорогой телефон, какое наказание ему грозит?","Ответственность за тайное хищение чужого имущества предусмотрена статьей 158 УК РФ. Часть 1: 'Кража, то есть тайное хищение чужого имущества, – наказывается штрафом в размере до восьмидесяти тысяч рублей или в размере заработной платы или иного дохода осужденного за период до шести месяцев, либо обязательными работами на срок до трехсот шестидесяти часов, либо исправительными работами на срок до одного года, либо ограничением свободы на срок до двух лет, либо принудительными работами на срок до двух лет, либо арестом на срок до четырех месяцев, либо лишением свободы на срок до двух лет'. Источник: УК РФ, статья 158."
"Что грозит человеку, который в драке умышленно забил другого до смерти?","Умышленное причинение смерти другому человеку квалифицируется по статье 105 УК РФ. Часть 1: 'Убийство, то есть умышленное причинение смерти другому человеку, – наказывается лишением свободы на срок от шести до пятнадцати лет с ограничением свободы на срок до двух лет либо без такового'. Источник: УК РФ, статья 105."
"Как наказывают мошенников, которые обманом завладели чужими деньгами?","Мошенничество, то есть хищение чужого имущества путем обмана или злоупотребления доверием, наказывается по статье 159 УК РФ. Часть 1 предусматривает штраф до ста двадцати тысяч рублей, либо обязательные работы до трехсот шестидесяти часов, либо исправительные работы до одного года, либо ограничение свободы до двух лет, либо принудительные работы до двух лет, либо арест до четырех месяцев, либо лишение свободы до двух лет. Источник: УК РФ, статья 159."
"Можно ли защищаясь от нападения с ножом, убить нападавшего и не понести наказание?","Статья 37 УК РФ определяет, что не является преступлением причинение вреда посягающему лицу в состоянии необходимой обороны, если посягательство было сопряжено с насилием, опасным для жизни обороняющегося. Превышением пределов необходимой обороны признаются умышленные действия, явно не соответствующие характеру и опасности посягательства. Источник: УК РФ, статья 37."
"Какое наказание ждет чиновника, который взял крупную взятку за решение вопроса?","Получение взятки должностным лицом в крупном размере квалифицируется по пункту 'в' части 5 статьи 290 УК РФ и наказывается штрафом от двух миллионов до пяти миллионов рублей с лишением права занимать определенные должности на срок до пяти лет либо лишением свободы на срок от семи до двенадцати лет со штрафом. Источник: УК РФ, статья 290."
"Если компания подростков избила прохожего во дворе, какая статья применяется?","Хулиганство, то есть грубое нарушение общественного порядка, выражающее явное неуважение к обществу, совершенное с применением оружия или предметов, используемых в качестве оружия, наказывается по части 1 статьи 213 УК РФ штрафом до трехсот тысяч рублей, либо обязательными работами до четырехсот восьмидесяти часов, либо исправительными работами до двух лет, либо принудительными работами до пяти лет, либо лишением свободы до пяти лет. Источник: УК РФ, статья 213."
"Что будет с вором, который проник в чужую квартиру через окно и украл ценности?","Кража, совершенная с незаконным проникновением в жилище, квалифицируется по пункту 'а' части 3 статьи 158 УК РФ. Наказание: штраф от ста тысяч до пятисот тысяч рублей, либо принудительные работы до пяти лет, либо лишение свободы до шести лет со штрафом до восьмидесяти тысяч рублей. Источник: УК РФ, статья 158."
"Можно ли привлечь к уголовной ответственности за то, что человек довел другого до самоубийства?","Доведение лица до самоубийства путем угроз, жестокого обращения или систематического унижения человеческого достоинства наказывается по статье 110 УК РФ принудительными работами до пяти лет либо лишением свободы на тот же срок. Источник: УК РФ, статья 110."
Какое наказание грозит за вымогательство денег под угрозой расправы?,"Вымогательство, то есть требование передачи чужого имущества под угрозой применения насилия либо распространения позорящих сведений, наказывается по части 1 статьи 163 УК РФ ограничением свободы до четырех лет, либо принудительными работами до четырех лет, либо арестом до шести месяцев, либо лишением свободы до четырех лет со штрафом. Источник: УК РФ, статья 163."
"Что грозит водителю, который сбил пешехода и скрылся с места аварии?","Оставление места дорожно-транспортного происшествия водителем, нарушившим правила дорожного движения, повлекшее смерть человека, квалифицируется по части 4 статьи 264 УК РФ и наказывается лишением свободы на срок от пяти до двенадцати лет с лишением права управлять транспортными средствами. Источник: УК РФ, статья 264."
Как наказывают за незаконное хранение оружия дома?,"Незаконные приобретение, передача, сбыт, хранение, перевозка или ношение огнестрельного оружия наказываются по статье 222 УК РФ ограничением свободы до трех лет, либо принудительными работами до четырех лет, либо лишением свободы до четырех лет со штрафом. Источник: УК РФ, статья 222."
Что грозит за оскорбление полицейского при исполнении?,"Публичное оскорбление представителя власти при исполнении им своих должностных обязанностей наказывается по статье 319 УК РФ штрафом до сорока тысяч рублей, либо обязательными работами до трехсот шестидесяти часов, либо исправительными работами до одного года. Источник: УК РФ, статья 319."
Какое наказание за хранение наркотиков для себя в крупном размере?,"Незаконные приобретение, хранение, перевозка наркотических средств без цели сбыта в значительном размере наказываются по части 1 статьи 228 УК РФ штрафом до сорока тысяч рублей, либо обязательными работами до четырехсот восьмидесяти часов, либо исправительными работами до двух лет, либо ограничением свободы до трех лет, либо лишением свободы на тот же срок. Источник: УК РФ, статья 228."
"Что грозит угонщику, который угнал машину покататься и бросил ее?","Неправомерное завладение автомобилем или иным транспортным средством без цели хищения (угон) наказывается по части 1 статьи 166 УК РФ штрафом до ста двадцати тысяч рублей, либо ограничением свободы до трех лет, либо принудительными работами до пяти лет, либо арестом до шести месяцев, либо лишением свободы до пяти лет. Источник: УК РФ, статья 166."
Чем разбой отличается от грабежа по наказанию?,"Разбой (статья 162 УК РФ) — это нападение с целью хищения, совершенное с применением насилия, опасного для жизни или здоровья. Грабеж (статья 161 УК РФ) — открытое хищение без насилия, опасного для жизни. Разбой считается более тяжким преступлением: за разбой с причинением тяжкого вреда здоровью грозит лишение свободы до пятнадцати лет, за грабеж без отягчающих обстоятельств — до четырех лет. Источник: УК РФ, статьи 161, 162."
Можно ли посадить в тюрьму за ложный донос о преступлении?,"Заведомо ложный донос о совершении преступления наказывается по статье 306 УК РФ штрафом до ста двадцати тысяч рублей, либо обязательными работами до четырехсот восьмидесяти часов, либо исправительными работами до двух лет, либо арестом до шести месяцев, либо лишением свободы до двух лет. Источник: УК РФ, статья 306."
Что грозит за подделку документов для получения выгоды?,"Подделка официального документа, предоставляющего права или освобождающего от обязанностей, в целях его использования наказывается по части 1 статьи 327 УК РФ ограничением свободы до двух лет, либо принудительными работами до двух лет, либо арестом до шести месяцев, либо лишением свободы до двух лет. Источник: УК РФ, статья 327."
Как наказывают за организацию незаконного игорного бизнеса?,"Организация азартных игр с использованием игрового оборудования вне игорной зоны наказывается по статье 171.2 УК РФ штрафом до пятисот тысяч рублей, либо обязательными работами до трехсот шестидесяти часов, либо ограничением свободы до четырех лет, либо лишением свободы до четырех лет. Источник: УК РФ, статья 171.2."
Что грозит за незаконную рубку леса в крупном размере?,"Незаконная рубка лесных насаждений в особо крупном размере наказывается по части 3 статьи 260 УК РФ штрафом от одного миллиона до трех миллионов рублей, либо принудительными работами до пяти лет, либо лишением свободы до семи лет со штрафом. Источник: УК РФ, статья 260."
Какое наказание за жестокое обращение с животными?,"Жестокое обращение с животными, повлекшее их гибель или увечье, совершенное из хулиганских побуждений, наказывается по части 1 статьи 245 УК РФ штрафом до восьмидесяти тысяч рублей, либо обязательными работами до трехсот шестидесяти часов, либо исправительными работами до одного года, либо ограничением свободы до одного года, либо арестом до шести месяцев. Источник: УК РФ, статья 245."
"Что грозит за распространение фейковых новостей, вызвавших панику?","Публичное распространение заведомо ложной информации об обстоятельствах, угрожающих жизни и безопасности граждан, повлекшее тяжкие последствия, наказывается по статье 207.1 УК РФ штрафом от трехсот тысяч до семисот тысяч рублей, либо ограничением свободы до трех лет, либо принудительными работами до трех лет, либо лишением свободы на тот же срок. Источник: УК РФ, статья 207.1."
Как наказывают за уклонение от уплаты налогов в особо крупном размере?,"Уклонение от уплаты налогов с организации в особо крупном размере наказывается по части 2 статьи 199 УК РФ штрафом от двухсот тысяч до пятисот тысяч рублей, либо принудительными работами до пяти лет, либо лишением свободы до шести лет с лишением права занимать определенные должности. Источник: УК РФ, статья 199."
